Test_No,SEID,System_Error,Parameter,DateNum_Start,Start,Stop,Datenum_Stop,Max,Min,Mean,Std,Ppk
150325-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736048.8789,3/25/2015 21:05,3/26/2015 3:52,736049.1612,,,,,
150325-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736048.8789,3/25/2015 21:05,3/26/2015 3:52,736049.1612,,,,,
150325-2,5365,NOX_IN_SENSOR_IR_HI_MOTOR_ERR,EONOx_IRH_Mot_Cusum_Value,736048.8789,3/25/2015 21:05,3/26/2015 3:52,736049.1612,299.1402893,0,19.57618897,46.70792609,15.02545704
150325-2,5366,NOX_IN_SENSOR_IR_LO_MOTOR_ERR,EONOx_IRL_Mot_Cusum_Value,736048.8789,3/25/2015 21:05,3/26/2015 3:52,736049.1612,91.56781006,0,10.27616693,20.66444368,17.9813508
150325-2,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736048.8789,3/25/2015 21:05,3/26/2015 3:52,736049.1612,925.4660645,722.6102905,851.3190214,57.55279545,4.930655495
150325-2,5976,P_SCD_ppm_NOxOff_FiltTestResult_Hi,NOX_OUT_SENSOR_IR_HI_MOTOR_ERR,736048.8789,3/25/2015 21:05,3/26/2015 3:52,736049.1612,2.607019186,-1.890212893,-0.203894039,1.620712656,
150325-2,5976,P_SCD_ppm_NOxOff_FiltTestResult_Hi,V_SCD_ppm_AvgNOxOff_Decision,736048.8789,3/25/2015 21:05,3/26/2015 3:52,736049.1612,2.607019186,-1.890212893,-0.203894039,1.620712656,308.5481951
150325-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736048.8789,3/25/2015 21:05,3/26/2015 3:52,736049.1612,2.607019186,-1.890212893,-0.419194506,1.34036106,7.356427153
150325-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736048.8789,3/25/2015 21:05,3/26/2015 3:52,736049.1612,2.607019186,-1.890212893,-0.419194506,1.34036106,
150326-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736049.3682,3/26/2015 8:50,3/26/2015 15:48,736049.659,,,,,
