Test_No,SEID,System_Error,Parameter,DateNum_Start,Start,Stop,Datenum_Stop,Max,Min,Mean,Std,Ppk
150325-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736048.8789,42088.87847,42089.16111,736049.1612,,,,,
150326-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736049.3682,42089.36806,42089.65833,736049.659,,,,,
150326-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736049.9062,42089.90556,42090.15903,736050.1595,,,,,
150327-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736050.7049,42090.70486,42090.79375,736050.7944,,,,,
150327-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736050.9333,42090.93264,42091.31667,736051.3167,0.997400522,0.97008419,0.98539213,0.005069588,393.5488557
150328-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736051.4252,42091.425,42091.67986,736051.6803,0.99375844,0.975110531,0.985777606,0.004188636,476.3505308
150330-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736053.8453,42093.84514,42094.26389,736054.2641,,,,,
150331-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736054.5166,42094.51597,42094.77083,736054.771,,,,,
150331-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736054.8722,42094.87153,42095.25903,736055.2591,,,,,
150401-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736055.3587,42095.35833,42095.66111,736055.6615,,,,,
150401-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736055.9048,42095.90417,42096.29097,736056.2916,,,,,
150402-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736056.4302,42096.42986,42096.78958,736056.7899,,,,,
150402-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736056.8895,42096.88889,42097.22083,736057.2212,,,,,
150403-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736057.4034,42097.40278,42097.74167,736057.7423,,,,,
150407-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736061.8479,42101.84792,42102.03819,736062.0387,0.994640529,0.974937439,0.985749337,0.005628834,354.4694892
150408-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736062.9547,42102.95417,42103.29097,736063.2915,,,,,
