Test_No,SEID,System_Error,Parameter,DateNum_Start,Start,Stop,Datenum_Stop,Max,Min,Mean,Std,Ppk
150325-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736048.8789,42088.87847,42089.16111,736049.1612,2.607019186,-1.890212893,-0.419194506,1.34036106,7.356427153
150325-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736048.8789,42088.87847,42089.16111,736049.1612,2.607019186,-1.890212893,-0.419194506,1.34036106,
150326-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736049.3682,42089.36806,42089.65833,736049.659,2.807171822,-2.999183178,-0.587247316,1.251890541,7.831556013
150326-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736049.3682,42089.36806,42089.65833,736049.659,2.807171822,-2.999183178,-0.587247316,1.251890541,
150326-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736049.9062,42089.90556,42090.15903,736050.1595,,,,,
150326-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736049.9062,42089.90556,42090.15903,736050.1595,,,,,
150327-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736050.7049,42090.70486,42090.79375,736050.7944,,,,,
150327-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736050.7049,42090.70486,42090.79375,736050.7944,,,,,
150327-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736050.9333,42090.93264,42091.31667,736051.3167,-4.609009743,-8.171133995,-6.954282727,0.979939407,7.839164035
150327-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736050.9333,42090.93264,42091.31667,736051.3167,-4.609009743,-8.171133995,-6.954282727,0.979939407,
150328-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736051.4252,42091.425,42091.67986,736051.6803,-0.571063876,-8.164691925,-6.108056362,1.482015028,5.373751996
150328-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736051.4252,42091.425,42091.67986,736051.6803,-0.571063876,-8.164691925,-6.108056362,1.482015028,
150330-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736053.8453,42093.84514,42094.26389,736054.2641,,,,,
150330-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736053.8453,42093.84514,42094.26389,736054.2641,,,,,
150331-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736054.5166,42094.51597,42094.77083,736054.771,,,,,
150331-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736054.5166,42094.51597,42094.77083,736054.771,,,,,
150331-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736054.8722,42094.87153,42095.25903,736055.2591,2.51274848,-2.748980045,-1.174447308,1.004362006,9.566787178
150331-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736054.8722,42094.87153,42095.25903,736055.2591,2.51274848,-2.748980045,-1.174447308,1.004362006,
150401-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736055.3587,42095.35833,42095.66111,736055.6615,3.20981741,-3.703481197,-0.891668376,1.489479162,6.514208092
150401-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736055.3587,42095.35833,42095.66111,736055.6615,3.20981741,-3.703481197,-0.891668376,1.489479162,
150401-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736055.9048,42095.90417,42096.29097,736056.2916,,,,,
150401-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736055.9048,42095.90417,42096.29097,736056.2916,,,,,
150402-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736056.4302,42096.42986,42096.78958,736056.7899,,,,,
150402-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736056.4302,42096.42986,42096.78958,736056.7899,,,,,
150402-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736056.8895,42096.88889,42097.22083,736057.2212,,,,,
150402-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736056.8895,42096.88889,42097.22083,736057.2212,,,,,
150403-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736057.4034,42097.40278,42097.74167,736057.7423,,,,,
150403-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736057.4034,42097.40278,42097.74167,736057.7423,,,,,
150407-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736061.8479,42101.84792,42102.03819,736062.0387,,,,,
150407-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736061.8479,42101.84792,42102.03819,736062.0387,,,,,
150408-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736062.9547,42102.95417,42103.29097,736063.2915,,,,,
150408-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736062.9547,42102.95417,42103.29097,736063.2915,,,,,
150409-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736063.5519,42103.55139,42103.79653,736063.7968,,,,,
150409-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736063.5519,42103.55139,42103.79653,736063.7968,,,,,
150409-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736063.8545,42103.85417,42104.23194,736064.2325,,,,,
150409-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736063.8545,42103.85417,42104.23194,736064.2325,,,,,
150410-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736064.3626,42104.3625,42104.7875,736064.7875,,,,,
150410-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736064.3626,42104.3625,42104.7875,736064.7875,,,,,
150410-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736064.8574,42104.85694,42105.23125,736065.2313,8.34963131,-4.094037533,-1.32036134,2.525105073,3.785933368
150410-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736064.8574,42104.85694,42105.23125,736065.2313,8.34963131,-4.094037533,-1.32036134,2.525105073,
150411-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736065.3711,42105.37083,42105.65694,736065.6572,92.86000824,-3.792778969,9.692901397,24.37153176,0.542886153
150411-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736065.3711,42105.37083,42105.65694,736065.6572,92.86000824,-3.792778969,9.692901397,24.37153176,
150413-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736067.9015,42107.90139,42108.14514,736068.1455,4.215228081,-5.503474712,-3.229265499,1.961779765,4.548715573
150413-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736067.9015,42107.90139,42108.14514,736068.1455,4.215228081,-5.503474712,-3.229265499,1.961779765,
150415-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736069.8766,42109.87639,42110.12083,736070.1213,,,,,
150415-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736069.8766,42109.87639,42110.12083,736070.1213,,,,,
150416-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736070.4074,42110.40694,42110.76458,736070.7646,,,,,
150416-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736070.4074,42110.40694,42110.76458,736070.7646,,,,,
150416-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736070.8942,42110.89375,42111.18264,736071.1831,-0.730997622,-3.414352179,-2.041441697,0.810639911,11.49649715
150416-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736070.8942,42110.89375,42111.18264,736071.1831,-0.730997622,-3.414352179,-2.041441697,0.810639911,
150417-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736071.4539,42111.45347,42111.75833,736071.7585,2.422112465,-4.226074696,-1.303445804,1.389623984,6.883529773
150417-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736071.4539,42111.45347,42111.75833,736071.7585,2.422112465,-4.226074696,-1.303445804,1.389623984,
